-                         ackinani                  -
-                         akluucana'q               -
-                         anacl'uk                  -
-                         atakuu!                   -
-                         aya'ilun!                 -
-                         bring some past           -
-                         cut them off              -
ellpegk                   ellpet                    ABS:DU:POSS3P:POSSSG
gaategk                   gaatet                    ABS:DU:POSS3P:POSSSG
gaategk                   gaatet                    ABS:DU:POSS3P:POSSSG
-                         ii'i!                     -
-                         iIuqIIiit                 -
-                         ima-mi                    -
-                         iwalrayak Afog.           -
-                         iwán'gilaq                -
kagitegk                  kagitet                   ABS:DU:POSS3P:POSSSG
-                         kita!                     -
-                         kiturluku carry           -
-                         kraapit                   -
-                         kulickiiq                 -
-                         kumátkaaq                 -
-                         lieqiluku                 -
llcia                     nani                      1P:INTERR:POS:SG
llcit                     nani                      2P:INTERR:POS:SG
llkagta                   nani                      3P:COND:DU:POS
llkan                     nani                      3P:COND:POS:SG
llkata                    nani                      3P:COND:PL:POS
llkumnuk                  nani                      1P:COND:DU:POS
llkumta                   nani                      1P:COND:PL:POS
llkumtek                  nani                      2P:COND:DU:POS
llkunek                   nani                      4P:COND:DU:POS
llngama                   nani                      1P:CSEQ:POS:SG
llngami                   nani                      4P:CSEQ:POS:SG
llngamta                  nani                      1P:CSEQ:PL:POS
llngan                    nani                      3P:CSEQ:POS:SG
llngata                   nani                      3P:CSEQ:PL:POS
llngaugci                 nani                      2P:CSEQ:PL:POS
llngaut                   nani                      2P:CSEQ:POS:SG
llnguanga                 nani                      1P:PAST:POS:SG
llngukuk                  nani                      1P:DU:PAST:POS
llngukut                  nani                      1P:PAST:PL:POS
llnguten                  nani                      2P:PAST:POS:SG
llt'snuk                  nani                      1P:DU:INTERR:POS
llt'stek                  nani                      2P:DU:INTERR:POS
-                         maalik OH                 -
-                         maluqnarluni OH           -
-                         mecgaluni                 -
-                         muuguaq Afog.             -
-                         nenglirluni Afog.         -
neqegk                    neqet                     ABS:DU:POSS3P:POSSSG
-                         niiculuni obey            -
-                         patag'uu-                 -
-                         pugrlpaq                  -
-                         qanganaruaq Afog., Kar.   -
-                         qaugcinek kaugtau'u?      -
qell'sk                   qellteq                   ABS:SG:UNPOSS
qellt'agkun               qellteq                   PER:POSS3P:POSSDU:SG
qellt'agni                qellteq                   LOC:POSS3P:POSSDU:SG
qellt'ani                 qellteq                   LOC:POSS3P:POSSSG:SG
qellt'anun                qellteq                   DAT:POSS3P:POSSSG:SG
qellt'att'stun            qellteq                   POSS3P:POSSPL:SG:SIM
qellt'ignek               qellteq                   ABL:DU:POSS3P:POSSDU
qellt'ignek               qellteq                   ABL:PL:POSS3P:POSSDU
qellt'igni                qellteq                   DU:LOC:POSS3P:POSSDU
qellt'igni                qellteq                   LOC:PL:POSS3P:POSSDU
qellt'ik                  qellteq                   ABS:DU:POSS3P:POSSDU
qellt'ik                  qellteq                   ABS:PL:POSS3P:POSSDU
qellt'inek                qellteq                   ABL:DU:POSS3P:POSSSG
qellt'inek                qellteq                   ABL:PL:POSS3P:POSSSG
qellt'ini                 qellteq                   DU:ERG:POSS3P:POSSSG
qellt'ini                 qellteq                   DU:LOC:POSS3P:POSSSG
qellt'ini                 qellteq                   LOC:PL:POSS3P:POSSSG
qellt'inun                qellteq                   DAT:DU:POSS3P:POSSSG
qellt'ita                 qellteq                   DU:ERG:POSS3P:POSSPL
qellt'ita                 qellteq                   ERG:PL:POSS3P:POSSPL
qellt'itkun               qellteq                   DU:PER:POSS3P:POSSPL
qellt'itnek               qellteq                   ABL:PL:POSS3P:POSSPL
qellt'itni                qellteq                   DU:LOC:POSS3P:POSSPL
qellt'itni                qellteq                   LOC:PL:POSS3P:POSSPL
qellt'itnun               qellteq                   DAT:PL:POSS3P:POSSPL
qellt'it                  qellteq                   ABS:DU:POSS3P:POSSPL
qellt'it                  qellteq                   ABS:PL:POSS3P:POSSPL
qellt'it'stun             qellteq                   DU:POSS3P:POSSSG:SIM
qellt'it'stun             qellteq                   PL:POSS3P:POSSSG:SIM
qellt'itt'stun            qellteq                   DU:POSS3P:POSSPL:SIM
qiiregk                   qiiret                    ABS:DU:POSS3P:POSSSG
-                         quIa                      -
-                         rnallungqusaagluni        -
-                         sakuuq OR                 -
-                         sis'uyaq Afog.            -
-                         ster'utaq Afog.           -
-                         sugsuutet Afog.           -
-                         taackaaq                  -
taaritegk                 taaritet                  ABS:DU:POSS3P:POSSSG
-                         taptan-qaa?               -
-                         tawaten ang'aluni;        -
-                         traapat                   -
-                         trupat                    -
-                         ukilluku born             -
weg'egk                   weg'et                    ABS:DU:POSS3P:POSSSG
